Frame Index,LEFT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,RIGHT_WRIST
0,nan,nan,nan,nan,nan,nan
1,0.43992265065511066,0.4390935003757477,0.43894322713216144,0.43867115179697674,0.3777936597665151,0.37542517979939777
2,0.4392331043879191,0.43810930848121643,0.42818841338157654,0.42735713720321655,0.3660736282666524,0.36324402689933777
3,0.4361257453759511,0.4355141619841258,0.4030517836411794,0.4012469748655955,0.33558617035547894,0.3314291437466939
4,0.4323183496793111,0.4318613012631734,0.37474772334098816,0.37130483984947205,0.30268340309460956,0.29803045590718585
5,0.42914363741874695,0.42871392766634625,0.36131112774213153,0.35742198427518207,0.28483890493710834,0.28159791231155396
6,0.428612361351649,0.4273685614267985,0.37599365909894306,0.3716682692368825,0.30412161350250244,0.29940417408943176
7,0.42958371837933856,0.4291914502779643,0.4076036314169566,0.40623245636622113,0.3391987383365631,0.33583856622378033
8,0.4307054777940114,0.43159229556719464,0.4300837417443593,0.43071313699086505,0.36551875869433087,0.3616110682487488
9,0.4312276442845662,0.4328012565771739,0.419351985057195,0.4201859732468923,0.35045570135116577,0.3498314917087555
10,0.4295621116956075,0.43067530790964764,0.3872147301832835,0.3864569266637166,0.31475218137105304,0.31423551837603253
11,0.4280517101287842,0.42817458510398865,0.3630501131216685,0.3604614237944285,0.28659481803576153,0.2863767345746358
12,0.42740800976753235,0.4277625580628713,0.3757124940554301,0.3751065830389659,0.30242595076560974,0.30071405569712323
13,0.4297447204589844,0.4306301772594452,0.40773173173268634,0.4096125662326813,0.3377723693847656,0.33617687225341797
14,0.4318726758162181,0.4337395926316579,0.4301897684733073,0.43408340215682983,0.3640865782896678,0.3624681035677592
15,0.4330268402894338,0.43480149904886883,0.41671013832092285,0.4193829695383708,0.3481498459974925,0.3485170801480611
16,0.43155548969904584,0.4325253168741862,0.3853001097838084,0.3858652114868164,0.3143160839875539,0.31448503335316974
17,0.43010594447453815,0.4303019444147746,0.3653506636619568,0.36501790086428326,0.29239898920059204,0.29264239470163983
18,0.43037375807762146,0.43062825004259747,0.38796287775039673,0.38861804207166034,0.3175350030263265,0.31731489300727844
19,0.43253854910532635,0.4335282842318217,0.42452673117319745,0.42599894603093463,0.35703547795613605,0.3562397360801697
20,0.4349014361699422,0.43643905719121295,0.45616575082143146,0.459632674853007,0.3900080621242523,0.3914796511332194
21,0.4362574617067973,0.4379267493883769,0.4639541705449422,0.46858436862627667,0.397382656733195,0.40019670128822327
22,0.4370528558890025,0.43812007705370587,0.46431881189346313,0.46949536601702374,0.3961634735266368,0.4011073609193166
23,0.439543475707372,0.4395825465520223,0.47658392786979675,0.4810925821463267,0.4094127416610718,0.41269584496816
24,0.4427124559879303,0.44311589002609253,0.49313334623972577,0.4965195457140605,0.43177693088849384,0.43276794751485187
25,0.445406307776769,0.44661500056584674,0.5084457397460938,0.5123806993166605,0.45146695772806805,0.45266981919606525
26,0.44656943281491596,0.4484072228272756,0.5166281461715698,0.5193864901860555,0.5027352968851725,0.5036114156246185
27,0.4468896488348643,0.44779402017593384,0.5202208757400513,0.5221353769302368,0.5446209013462067,0.5473374128341675
28,0.44724703828493756,0.4470631281534831,0.5206908583641052,0.5215515891710917,0.5735498070716858,0.5775637626647949
29,0.4467521707216899,0.44614837567011517,0.5094477732976278,0.5108291804790497,0.5201223492622375,0.5235101679960886
30,0.44520073135693866,0.4443091054757436,0.4884529610474904,0.49106085300445557,0.45570624868075055,0.4585171143213908
31,0.4490941564242045,0.4487505455811818,0.47280871868133545,0.47281988461812335,0.40801358222961426,0.40558408697446185
